campaign_name,channel,campaign_type,target_audience,budget,spend,revenue,impressions,clicks,conversions,start_date,end_date,status,geo_location,device_type,age_group,gender,interests,ad_format,landing_page_url,notes
"Summer Sale 2024","Facebook","Promotional","Women 25-34",5000.00,4800.00,12000.00,150000,4500,225,"2024-06-01","2024-06-30","completed","United States","Mobile","25-34","Female","Fashion, Shopping","Video Ad","https://example.com/summer-sale","Great performance, exceeded ROAS target"
"Brand Awareness Q3","Google Ads","Brand Awareness","All Demographics",10000.00,9500.00,8000.00,500000,12000,400,"2024-07-01","2024-09-30","active","Global","Desktop","18-65","All","Technology, Innovation","Display Banner","https://example.com/brand","Building brand recognition"
"Holiday Campaign","Instagram","Seasonal","Families with children",8000.00,7200.00,18000.00,200000,6000,360,"2024-11-15","2024-12-25","completed","North America","Mobile","30-45","All","Family, Gifts","Carousel Ad","https://example.com/holiday","Strong conversion rate during holidays"
"Back to School","YouTube","Educational","Students & Parents",3000.00,2800.00,5600.00,80000,2400,140,"2024-08-01","2024-08-31","completed","United States","Mobile","18-35","All","Education, Students","Video Ad","https://example.com/back-to-school","Good engagement with target audience"
"New Product Launch","LinkedIn","Product Launch","Professionals",6000.00,5500.00,11000.00,100000,3000,200,"2024-05-01","2024-05-31","completed","United States","Desktop","25-45","All","Business, Technology","Sponsored Content","https://example.com/new-product","Professional audience responded well"
"Valentine's Day","Pinterest","Seasonal","Women 18-35",4000.00,3800.00,9500.00,120000,3600,190,"2024-02-01","2024-02-14","completed","United States","Mobile","18-35","Female","Romance, Gifts","Pin Ad","https://example.com/valentines","High engagement on Pinterest"
"Flash Sale Weekend","Twitter","Promotional","Deal Seekers",2000.00,1900.00,4750.00,60000,1800,95,"2024-03-15","2024-03-17","completed","United States","Mobile","18-50","All","Shopping, Deals","Promoted Tweet","https://example.com/flash-sale","Quick turnaround campaign"
"Fitness January","TikTok","Health & Fitness","Young Adults",7000.00,6500.00,9750.00,300000,9000,325,"2024-01-01","2024-01-31","completed","Global","Mobile","18-30","All","Fitness, Health","Video Ad","https://example.com/fitness","Viral content, great reach"
"Spring Collection","Snapchat","Fashion","Gen Z",5500.00,5200.00,10400.00,180000,5400,260,"2024-03-01","2024-05-31","completed","United States","Mobile","16-25","All","Fashion, Style","AR Filter","https://example.com/spring","Innovative AR experience"
"Tech Conference 2024","Google Ads","Event Promotion","Tech Professionals",15000.00,14500.00,50000.00,250000,7500,500,"2024-09-01","2024-10-15","completed","Global","Desktop","25-50","All","Technology, Events","Search Ad","https://example.com/tech-conf","High-value conversions"
"Customer Retention","Email","Retention","Existing Customers",3500.00,3200.00,12800.00,50000,2500,320,"2024-04-01","2024-06-30","completed","Global","All","All","All","Loyalty, Retention","Email Campaign","https://example.com/loyalty","Excellent retention results"
"Mobile App Launch","Instagram","App Promotion","Mobile Users",12000.00,11000.00,16500.00,400000,12000,550,"2024-07-15","2024-08-15","completed","Global","Mobile","18-40","All","Apps, Technology","Story Ad","https://example.com/app","Strong app download numbers"
"Black Friday Prep","Multi-Channel","Promotional","Bargain Hunters",20000.00,18500.00,75000.00,800000,24000,1500,"2024-11-15","2024-11-29","completed","North America","All","18-65","All","Shopping, Deals","Mixed","https://example.com/black-friday","Record-breaking Black Friday"
"Local Business Push","Facebook","Local","Local Community",1500.00,1400.00,4200.00,40000,1200,84,"2024-06-01","2024-08-31","completed","California","Mobile","25-55","All","Local, Community","Local Ad","https://example.com/local","Great local engagement"
"Influencer Collab","Instagram","Influencer","Beauty Enthusiasts",8000.00,7500.00,22500.00,300000,15000,900,"2024-05-01","2024-05-31","completed","United States","Mobile","18-35","Female","Beauty, Lifestyle","Sponsored Post","https://example.com/beauty","High influencer ROI"
"Retargeting Campaign","Google Ads","Retargeting","Website Visitors",4500.00,4200.00,12600.00,100000,4000,300,"2024-08-01","2024-10-31","active","Global","All","All","All","Retargeting","Display Ad","https://example.com/retarget","Strong conversion from retargeting"
"Podcast Sponsorship","Spotify","Audio","Podcast Listeners",6000.00,5800.00,8700.00,200000,3000,145,"2024-07-01","2024-09-30","active","United States","Mobile","25-45","All","Entertainment, Podcasts","Audio Ad","https://example.com/podcast","Good audio engagement"
"Video Series Launch","YouTube","Content","Content Consumers",9000.00,8500.00,10200.00,450000,13500,510,"2024-06-01","2024-08-31","completed","Global","All","18-40","All","Entertainment, Video","Pre-roll Ad","https://example.com/video-series","High view completion rate"
"Webinar Registration","LinkedIn","B2B","Business Leaders",5000.00,4700.00,25000.00,80000,2400,200,"2024-09-01","2024-09-15","completed","Global","Desktop","30-55","All","Business, Education","Sponsored Content","https://example.com/webinar","High-value B2B leads"
"Gaming Tournament","Twitch","Gaming","Gamers",10000.00,9200.00,13800.00,600000,18000,690,"2024-08-01","2024-08-31","completed","Global","Desktop","16-35","Male","Gaming, Esports","Stream Sponsorship","https://example.com/gaming","Great gaming community response"
